regulator_name,regulator_id,database1,ID1,location1,element_type1,cell_type1,level1,regulated_name,regulated_id,database1,ID2,location2,element_type2,cell_type2,level2,interaction,score,kindscore,matchlevel,epistemicvalue,file_numbers,number,Regulator Variable Name,Regulated Variable Name,PaperID,,
mTORC1,be_mTORC1,be,Q8N122,,protein,,,TBK1,uniprot_Q9UHD2,uniprot,Q9UHD2,,protein,,,increases,,,,,,,,,PMC4302769,,
TCR,uniprot_P04234,uniprot,P04234,,protein,,,AKT,be_AKT,be,P31749,,family,,,decreases,,,,,,,,,PMC4302769,,
TBK1,uniprot_Q9UHD2,uniprot,Q9UHD2,,protein,,,AKT,be_AKT,be,P31749,,family,,,decreases,,,,,,,,,PMC4302769,,
TBK1,uniprot_Q9UHD2,uniprot,Q9UHD2,,protein,,,AKT,be_AKT,be,P31749,,family,,,decreases,,,,,,,,,PMC4302769,,
TBK1,uniprot_Q9UHD2,uniprot,Q9UHD2,,protein,,,AKT,be_AKT,be,P31749,,family,,,decreases,,,,,,,,,PMC4302769,,
AKT,be_AKT,be,P31749,,family,,,Foxo1,uniprot_Q12778,uniprot,Q12778,,protein,,,decreases,,,,,,,,,PMC4302769,,
AKT,be_AKT,be,P31749,,family,,,TBK1,uniprot_Q9UHD2,uniprot,Q9UHD2,,protein,,,increases,,,,,,,,,PMC4302769,,
TBK1,uniprot_Q9UHD2,uniprot,Q9UHD2,,protein,,,CD4,uniprot_P01730,uniprot,P01730,,protein,,,decreases,,,,,,,,,PMC4302769,,
TBK1,uniprot_Q9UHD2,uniprot,Q9UHD2,,protein,,,Foxo1,uniprot_Q12778,uniprot,Q12778,,protein,,,increases,,,,,,,,,PMC4302769,,
TBK1,uniprot_Q9UHD2,uniprot,Q9UHD2,,protein,,,AKT,be_AKT,be,P31749,,family,,,increases,,,,,,,,,PMC4302769,,
AKT,be_AKT,be,P31749,,family,,,Foxo1,uniprot_Q12778,uniprot,Q12778,,protein,,,decreases,,,,,,,,,PMC4302769,,
TBK1,uniprot_Q9UHD2,uniprot,Q9UHD2,,protein,,,AKT,be_AKT,be,P31749,,family,,,increases,,,,,,,,,PMC4302769,,
TBK1,uniprot_Q9UHD2,uniprot,Q9UHD2,,protein,,,AKT,be_AKT,be,P31749,,family,,,decreases,,,,,,,,,PMC4302769,,
TBK1,uniprot_Q9UHD2,uniprot,Q9UHD2,,protein,,,CD4,uniprot_P01730,uniprot,P01730,,protein,,,increases,,,,,,,,,PMC4302769,,
FOXO3,uniprot_O43524,uniprot,O43524,,protein,,,FOXO3,uaz_UAZ03334,uaz,UAZ03334,,protein,,,increases,,,,,,,,,PMC4487994,,
PI,be_PI3K,be,P42336,,protein,,,AKT,be_AKT,be,P31749,,family,,,decreases,,,,,,,,,PMC4487994,,
FASL,uniprot_P48023,uniprot,P48023,,protein,,,FAS,uniprot_P25445,uniprot,P25445,,protein,,,increases,,,,,,,,,PMC4487994,,
Bcl2l11,uniprot_O43521,uniprot,O43521,,gene,,,CD4,uniprot_P01730,uniprot,P01730,,protein,,,increases,,,,,,,,,PMC4487994,,
PI3K,be_PI3K,be,P42336,,protein,,,PIP3,hmdb_HMDB10147,hmdb,HMDB10147,,simple-chemical,,,increases,,,,,,,,,PMC4487994,,
PI3,be_PI3K,be,P42336,,protein,,,PIP3,hmdb_HMDB10147,hmdb,HMDB10147,,simple-chemical,,,increases,,,,,,,,,PMC4487994,,
SHIP,uniprot_Q92835,uniprot,Q92835,,protein,,,PI,be_PI3K,be,P42336,,protein,,,increases,,,,,,,,,PMC4487994,,
SHIP1,uniprot_Q92835,uniprot,Q92835,,protein,,,AKT,be_AKT,be,P31749,,family,,,decreases,,,,,,,,,PMC4487994,,
SHIP1,uniprot_Q92835,uniprot,Q92835,,protein,,,AKT,be_AKT,be,P31749,,family,,,decreases,,,,,,,,,PMC4487994,,
BAM32,uniprot_Q9UN19,uniprot,Q9UN19,,protein,,,PAK1,uniprot_Q13153,uniprot,Q13153,,protein,,,increases,,,,,,,,,PMC4487994,,
mTORC1,be_mTORC1,be,Q8N122,,protein,,,PAK1,uniprot_Q13153,uniprot,Q13153,,protein,,,increases,,,,,,,,,PMC4487994,,
siPAK1,uaz_UAZ03324,uaz,UAZ03324,,protein,,,PAK1,uniprot_Q13153,uniprot,Q13153,,protein,,,decreases,,,,,,,,,PMC4487994,,
SHIP1,uniprot_Q92835,uniprot,Q92835,,protein,,,AKT,be_AKT,be,P31749,,family,,,decreases,,,,,,,,,PMC4487994,,
mTOR,uniprot_P42345,uniprot,P42345,,protein,,,AKT,be_AKT,be,P31749,,family,,,increases,,,,,,,,,PMC4487994,,
mTOR,uniprot_P42345,uniprot,P42345,,protein,,,Pak1,uniprot_Q13153,uniprot,Q13153,,protein,,,decreases,,,,,,,,,PMC4487994,,
mTOR,uniprot_P42345,uniprot,P42345,,protein,,,PAK1,uniprot_Q13153,uniprot,Q13153,,protein,,,increases,,,,,,,,,PMC4487994,,
PI3K,be_PI3K,be,P42336,,protein,,,PAK1,uniprot_Q13153,uniprot,Q13153,,protein,,,decreases,,,,,,,,,PMC4487994,,
ERK,be_ERK,be,P29323,,family,,,PAK1,uniprot_Q13153,uniprot,Q13153,,protein,,,increases,,,,,,,,,PMC4487994,,
BIM,uniprot_O43521,uniprot,O43521,,protein,,,PAK1,uniprot_Q13153,uniprot,Q13153,,protein,,,increases,,,,,,,,,PMC4487994,,
PDK1,uniprot_Q15118,uniprot,Q15118,,protein,,,Akt,be_AKT,be,P31749,,family,,,increases,,,,,,,,,PMC4550078,,
CTLA4,uniprot_P16410,uniprot,P16410,,protein,,,Akt,be_AKT,be,P31749,,family,,,decreases,,,,,,,,,PMC4550078,,
PD1,uniprot_P18621,uniprot,P18621,,protein,,,Akt,be_AKT,be,P31749,,family,,,decreases,,,,,,,,,PMC4550078,,
IFNgamma,uniprot_P01579,uniprot,P01579,,protein,,,Akt,be_AKT,be,P31749,,family,,,increases,,,,,,,,,PMC4550078,,
TIL,uniprot_Q15399,uniprot,Q15399,,protein,,,Akt,be_AKT,be,P31749,,family,,,decreases,,,,,,,,,PMC4550078,,
PI3K,be_PI3K,be,P42336,,protein,,,Akt,be_AKT,be,P31749,,family,,,increases,,,,,,,,,PMC4496363,,
PI3K,be_PI3K,be,P42336,,protein,,,PTEN,uniprot_P60484,uniprot,P60484,,protein,,,decreases,,,,,,,,,PMC4496363,,
CK2,be_CK2,be,CK2,,protein,,,PTEN,uniprot_P60484,uniprot,P60484,,protein,,,decreases,,,,,,,,,PMC4496363,,
PI3K,be_PI3K,be,P42336,,protein,,,Akt,be_AKT,be,P31749,,family,,,increases,,,,,,,,,PMC4496363,,
PI3K,be_PI3K,be,P42336,,protein,,,Akt,be_AKT,be,P31749,,family,,,increases,,,,,,,,,PMC4496363,,
Akt,be_AKT,be,P31749,,family,,,FoxO3,uniprot_O43524,uniprot,O43524,,protein,,,decreases,,,,,,,,,PMC4496363,,
TCR,,,P04235,,protein,,,NEDD4,,,P46934,,protein,,,increases,,,,,,,,,PMC4418530,,//Hawse et al
Foxo1,,,Q12778,,protein,,,PTEN,,,P60484,,protein,,,increases,,,,,,,,,PMC4418530,,
MEK1,,,Q02750,,protein,,,PTEN,,,P60485,,protein,,,increases,,,,,,,,,PMC4418530,,
CK2,,,Q53GL0,,protein,,,PTEN,,,P60486,,protein,,,decreases,,,,,,,,,PMC4418530,,
NEDD4,,,P46934,,protein,,,PTEN,,,P60487,,protein,,,decreases,,,,,,,,,PMC4418530,,
PIP3,,,HMDB10147,,protein,,,AKT,,,P31749,,protein,,,increases,,,,,,,,,PMC4418530,,
MTORC2,,,Q6R327,,Complex,,,AKT,,,P31750,,protein,,,increases,,,,,,,,,PMC4418530,,
TCR,,,P01850,,protein,,,MTORC2,,,Q6R327,,Complex,,,increases,,,,,,,,,PMC4418530,,
AKT,,,P31749,,protein,,,MTORC2,,,Q6R327,,Complex,,,decreases,,,,,,,,,PMC4418530,,
TCR,,,P01850,,protein,,,PIP3,,,HMDB10147,,protein,,,increases,,,,,,,,,PMC4418530,,
PTEN,,,P60484,,protein,,,PIP3,,,HMDB10148,,protein,,,decreases,,,,,,,,,PMC4418530,,
TCR,,,P01850,,protein,,,MEK1,,,Q02750,,protein,,,increases,,,,,,,,,PMC4418530,,
TCR,,,P01850,,protein,,,CK2,,,Q53GL0,,protein,,,increases,,,,,,,,,PMC4418530,,
MTORC2,,,Q6R328,,Complex,,,MTORC2,,,Q6R327,,Complex,,,increases,,,,,,,,,PMC4418530,,
CD28,,,P10747,,protein,,,MTORC2,,,Q6R328,,Complex,,,increases,,,,,,,,,PMC4418530,,
IL2_EX,,,P60568,,protein,,,MTORC2,,,Q6R329,,Complex,,,increases,,,,,,,,,PMC4418530,,
IL2_R,,,P01589,,protein,,,MTORC2,,,Q6R330,,Complex,,,increases,,,,,,,,,PMC4418530,,
PI3K,,,P42336,,protein,,,PIP3,,,HMDB10147,,protein,,,increases,,,,,,,,,PMC4418530,,
